,Date,Longitude,Latitude,Temp
126,2023-04-02,-119.0,48.25,266.5
127,2023-04-02,-119.0,48.5,261.0
128,2023-04-02,-119.0,48.75,261.1
129,2023-04-02,-119.0,49.0,263.3
130,2023-04-03,-122.0,48.0,274.379
131,2023-04-03,-122.0,48.25,272.939
132,2023-04-03,-122.0,48.5,271.399
133,2023-04-03,-122.0,48.75,269.147
134,2023-04-03,-122.0,49.0,271.179
135,2023-04-03,-121.75,48.0,272.047
136,2023-04-03,-121.75,48.25,270.505
137,2023-04-03,-121.75,48.5,270.969
138,2023-04-03,-121.75,48.75,266.247
139,2023-04-03,-121.75,49.0,265.579
140,2023-04-03,-121.5,48.0,266.619
141,2023-04-03,-121.5,48.25,268.539
142,2023-04-03,-121.5,48.5,268.459
143,2023-04-03,-121.5,48.75,263.347
144,2023-04-03,-121.5,49.0,262.159
145,2023-04-03,-121.25,48.0,263.179
146,2023-04-03,-121.25,48.25,265.669
147,2023-04-03,-121.25,48.5,264.489
148,2023-04-03,-121.25,48.75,262.247
149,2023-04-03,-121.25,49.0,261.647
150,2023-04-03,-121.0,48.0,261.747
151,2023-04-03,-121.0,48.25,262.339
152,2023-04-03,-121.0,48.5,259.919
153,2023-04-03,-121.0,48.75,263.847
154,2023-04-03,-121.0,49.0,264.247
155,2023-04-03,-120.75,48.0,262.947
156,2023-04-03,-120.75,48.25,261.347
157,2023-04-03,-120.75,48.5,260.049
158,2023-04-03,-120.75,48.75,259.647
159,2023-04-03,-120.75,49.0,258.147
160,2023-04-03,-120.5,48.0,263.947
161,2023-04-03,-120.5,48.25,261.589
162,2023-04-03,-120.5,48.5,261.669
163,2023-04-03,-120.5,48.75,258.947
164,2023-04-03,-120.5,49.0,256.147
165,2023-04-03,-120.25,48.0,267.647
166,2023-04-03,-120.25,48.25,265.547
167,2023-04-03,-120.25,48.5,264.647
168,2023-04-03,-120.25,48.75,260.209
169,2023-04-03,-120.25,49.0,255.547
170,2023-04-03,-120.0,48.0,270.547
171,2023-04-03,-120.0,48.25,267.747
172,2023-04-03,-120.0,48.5,263.647
173,2023-04-03,-120.0,48.75,258.469
174,2023-04-03,-120.0,49.0,257.147
175,2023-04-03,-119.75,48.0,271.447
176,2023-04-03,-119.75,48.25,269.847
177,2023-04-03,-119.75,48.5,266.047
178,2023-04-03,-119.75,48.75,264.447
179,2023-04-03,-119.75,49.0,265.147
180,2023-04-03,-119.5,48.0,271.747
181,2023-04-03,-119.5,48.25,271.447
182,2023-04-03,-119.5,48.5,270.847
183,2023-04-03,-119.5,48.75,270.447
184,2023-04-03,-119.5,49.0,269.247
185,2023-04-03,-119.25,48.0,271.847
186,2023-04-03,-119.25,48.25,270.247
187,2023-04-03,-119.25,48.5,266.747
188,2023-04-03,-119.25,48.75,267.947
189,2023-04-03,-119.25,49.0,265.847
190,2023-04-03,-119.0,48.0,271.147
191,2023-04-03,-119.0,48.25,267.847
192,2023-04-03,-119.0,48.5,262.247
193,2023-04-03,-119.0,48.75,261.647
194,2023-04-03,-119.0,49.0,265.147
195,2023-04-04,-122.0,48.0,273.099
196,2023-04-04,-122.0,48.25,271.363
197,2023-04-04,-122.0,48.5,271.569
198,2023-04-04,-122.0,48.75,268.829
199,2023-04-04,-122.0,49.0,271.179
200,2023-04-04,-121.75,48.0,269.453
201,2023-04-04,-121.75,48.25,269.769
202,2023-04-04,-121.75,48.5,271.139
203,2023-04-04,-121.75,48.75,265.229
204,2023-04-04,-121.75,49.0,265.073
205,2023-04-04,-121.5,48.0,265.053
206,2023-04-04,-121.5,48.25,269.173
207,2023-04-04,-121.5,48.5,268.353
208,2023-04-04,-121.5,48.75,264.709
209,2023-04-04,-121.5,49.0,261.379
210,2023-04-04,-121.25,48.0,262.409
211,2023-04-04,-121.25,48.25,265.483
212,2023-04-04,-121.25,48.5,262.783
213,2023-04-04,-121.25,48.75,263.363
214,2023-04-04,-121.25,49.0,261.909
215,2023-04-04,-121.0,48.0,260.983
216,2023-04-04,-121.0,48.25,260.583
217,2023-04-04,-121.0,48.5,258.223
218,2023-04-04,-121.0,48.75,262.643
219,2023-04-04,-121.0,49.0,263.889
220,2023-04-04,-120.75,48.0,262.293
221,2023-04-04,-120.75,48.25,260.023
222,2023-04-04,-120.75,48.5,258.053
223,2023-04-04,-120.75,48.75,258.423
224,2023-04-04,-120.75,49.0,258.013
225,2023-04-04,-120.5,48.0,262.683
226,2023-04-04,-120.5,48.25,260.103
227,2023-04-04,-120.5,48.5,260.623
228,2023-04-04,-120.5,48.75,258.583
229,2023-04-04,-120.5,49.0,256.093
230,2023-04-04,-120.25,48.0,265.393
231,2023-04-04,-120.25,48.25,263.923
232,2023-04-04,-120.25,48.5,264.223
233,2023-04-04,-120.25,48.75,260.403
234,2023-04-04,-120.25,49.0,255.303
235,2023-04-04,-120.0,48.0,268.543
236,2023-04-04,-120.0,48.25,266.083
237,2023-04-04,-120.0,48.5,262.693
238,2023-04-04,-120.0,48.75,257.743
239,2023-04-04,-120.0,49.0,256.903
240,2023-04-04,-119.75,48.0,270.733
241,2023-04-04,-119.75,48.25,268.813
242,2023-04-04,-119.75,48.5,265.433
243,2023-04-04,-119.75,48.75,263.633
244,2023-04-04,-119.75,49.0,264.703
245,2023-04-04,-119.5,48.0,271.133
246,2023-04-04,-119.5,48.25,270.843
247,2023-04-04,-119.5,48.5,270.263
248,2023-04-04,-119.5,48.75,270.123
249,2023-04-04,-119.5,49.0,268.703
250,2023-04-04,-119.25,48.0,271.463
251,2023-04-04,-119.25,48.25,269.813
252,2023-04-04,-119.25,48.5,266.423
253,2023-04-04,-119.25,48.75,267.753
254,2023-04-04,-119.25,49.0,266.223
255,2023-04-04,-119.0,48.0,271.093
256,2023-04-04,-119.0,48.25,268.143
257,2023-04-04,-119.0,48.5,263.563
258,2023-04-04,-119.0,48.75,262.973
259,2023-04-04,-119.0,49.0,266.123
260,2023-04-05,-122.0,48.0,272.612
261,2023-04-05,-122.0,48.25,272.012
262,2023-04-05,-122.0,48.5,271.512
263,2023-04-05,-122.0,48.75,269.812
264,2023-04-05,-122.0,49.0,272.443
265,2023-04-05,-121.75,48.0,271.012
266,2023-04-05,-121.75,48.25,270.012
267,2023-04-05,-121.75,48.5,270.412
268,2023-04-05,-121.75,48.75,266.512
269,2023-04-05,-121.75,49.0,267.612
270,2023-04-05,-121.5,48.0,264.412
271,2023-04-05,-121.5,48.25,269.412
272,2023-04-05,-121.5,48.5,268.812
273,2023-04-05,-121.5,48.75,266.312
274,2023-04-05,-121.5,49.0,264.493
275,2023-04-05,-121.25,48.0,262.012
276,2023-04-05,-121.25,48.25,264.612
277,2023-04-05,-121.25,48.5,265.863
278,2023-04-05,-121.25,48.75,265.253
279,2023-04-05,-121.25,49.0,264.763
280,2023-04-05,-121.0,48.0,262.212
281,2023-04-05,-121.0,48.25,262.912
282,2023-04-05,-121.0,48.5,261.373
283,2023-04-05,-121.0,48.75,265.133
284,2023-04-05,-121.0,49.0,265.523
285,2023-04-05,-120.75,48.0,263.112
286,2023-04-05,-120.75,48.25,263.012
287,2023-04-05,-120.75,48.5,260.663
288,2023-04-05,-120.75,48.75,260.353
289,2023-04-05,-120.75,49.0,260.983
290,2023-04-05,-120.5,48.0,263.512
291,2023-04-05,-120.5,48.25,262.713
292,2023-04-05,-120.5,48.5,263.412
293,2023-04-05,-120.5,48.75,260.012
294,2023-04-05,-120.5,49.0,258.812
295,2023-04-05,-120.25,48.0,266.512
296,2023-04-05,-120.25,48.25,265.012
297,2023-04-05,-120.25,48.5,264.512
298,2023-04-05,-120.25,48.75,260.712
299,2023-04-05,-120.25,49.0,257.012
300,2023-04-05,-120.0,48.0,269.412
301,2023-04-05,-120.0,48.25,266.012
302,2023-04-05,-120.0,48.5,263.712
303,2023-04-05,-120.0,48.75,258.812
304,2023-04-05,-120.0,49.0,259.112
305,2023-04-05,-119.75,48.0,271.312
306,2023-04-05,-119.75,48.25,269.412
307,2023-04-05,-119.75,48.5,266.412
308,2023-04-05,-119.75,48.75,265.212
309,2023-04-05,-119.75,49.0,265.412
310,2023-04-05,-119.5,48.0,271.812
311,2023-04-05,-119.5,48.25,271.512
312,2023-04-05,-119.5,48.5,270.912
313,2023-04-05,-119.5,48.75,270.912
314,2023-04-05,-119.5,49.0,269.412
315,2023-04-05,-119.25,48.0,272.212
316,2023-04-05,-119.25,48.25,270.112
317,2023-04-05,-119.25,48.5,266.712
318,2023-04-05,-119.25,48.75,268.312
319,2023-04-05,-119.25,49.0,267.012
320,2023-04-05,-119.0,48.0,271.812
321,2023-04-05,-119.0,48.25,268.212
322,2023-04-05,-119.0,48.5,263.512
323,2023-04-05,-119.0,48.75,264.112
324,2023-04-05,-119.0,49.0,266.112
325,2023-04-06,-122.0,48.0,277.544
326,2023-04-06,-122.0,48.25,276.744
327,2023-04-06,-122.0,48.5,275.808
328,2023-04-06,-122.0,48.75,273.718
329,2023-04-06,-122.0,49.0,275.448
330,2023-04-06,-121.75,48.0,275.744
331,2023-04-06,-121.75,48.25,273.998
332,2023-04-06,-121.75,48.5,274.644
333,2023-04-06,-121.75,48.75,270.544
334,2023-04-06,-121.75,49.0,271.044
335,2023-04-06,-121.5,48.0,270.844
336,2023-04-06,-121.5,48.25,273.144
337,2023-04-06,-121.5,48.5,272.644
338,2023-04-06,-121.5,48.75,269.844
339,2023-04-06,-121.5,49.0,268.344
340,2023-04-06,-121.25,48.0,268.078
341,2023-04-06,-121.25,48.25,269.638
342,2023-04-06,-121.25,48.5,269.944
343,2023-04-06,-121.25,48.75,268.844
344,2023-04-06,-121.25,49.0,268.144
345,2023-04-06,-121.0,48.0,267.444
346,2023-04-06,-121.0,48.25,267.644
347,2023-04-06,-121.0,48.5,266.544
348,2023-04-06,-121.0,48.75,268.944
349,2023-04-06,-121.0,49.0,268.644
350,2023-04-06,-120.75,48.0,267.944
351,2023-04-06,-120.75,48.25,267.244
352,2023-04-06,-120.75,48.5,265.944
353,2023-04-06,-120.75,48.75,264.644
354,2023-04-06,-120.75,49.0,264.644
355,2023-04-06,-120.5,48.0,267.244
356,2023-04-06,-120.5,48.25,266.244
357,2023-04-06,-120.5,48.5,266.144
358,2023-04-06,-120.5,48.75,263.944
359,2023-04-06,-120.5,49.0,264.944
360,2023-04-06,-120.25,48.0,269.689
361,2023-04-06,-120.25,48.25,268.244
362,2023-04-06,-120.25,48.5,267.744
363,2023-04-06,-120.25,48.75,263.844
364,2023-04-06,-120.25,49.0,263.744
365,2023-04-06,-120.0,48.0,271.344
366,2023-04-06,-120.0,48.25,269.044
367,2023-04-06,-120.0,48.5,266.744
368,2023-04-06,-120.0,48.75,263.044
369,2023-04-06,-120.0,49.0,263.144
370,2023-04-06,-119.75,48.0,273.389
371,2023-04-06,-119.75,48.25,271.644
372,2023-04-06,-119.75,48.5,268.844
373,2023-04-06,-119.75,48.75,267.844
374,2023-04-06,-119.75,49.0,268.044
375,2023-04-06,-119.5,48.0,273.789
376,2023-04-06,-119.5,48.25,273.444
377,2023-04-06,-119.5,48.5,272.744
378,2023-04-06,-119.5,48.75,272.644
379,2023-04-06,-119.5,49.0,271.344
380,2023-04-06,-119.25,48.0,273.689
381,2023-04-06,-119.25,48.25,272.444
382,2023-04-06,-119.25,48.5,269.844
383,2023-04-06,-119.25,48.75,270.844
384,2023-04-06,-119.25,49.0,269.089
385,2023-04-06,-119.0,48.0,273.144
386,2023-04-06,-119.0,48.25,269.844
387,2023-04-06,-119.0,48.5,264.844
388,2023-04-06,-119.0,48.75,265.744
389,2023-04-06,-119.0,49.0,267.389
390,2023-04-07,-122.0,48.0,280.145
391,2023-04-07,-122.0,48.25,279.545
392,2023-04-07,-122.0,48.5,278.451
393,2023-04-07,-122.0,48.75,276.351
394,2023-04-07,-122.0,49.0,277.845
395,2023-04-07,-121.75,48.0,277.845
396,2023-04-07,-121.75,48.25,277.345
397,2023-04-07,-121.75,48.5,277.745
398,2023-04-07,-121.75,48.75,274.051
399,2023-04-07,-121.75,49.0,274.351
400,2023-04-07,-121.5,48.0,274.545
401,2023-04-07,-121.5,48.25,276.445
402,2023-04-07,-121.5,48.5,276.151
403,2023-04-07,-121.5,48.75,273.445
404,2023-04-07,-121.5,49.0,272.945
405,2023-04-07,-121.25,48.0,272.842
406,2023-04-07,-121.25,48.25,274.051
407,2023-04-07,-121.25,48.5,273.545
408,2023-04-07,-121.25,48.75,272.745
409,2023-04-07,-121.25,49.0,272.045
410,2023-04-07,-121.0,48.0,271.912
411,2023-04-07,-121.0,48.25,272.132
412,2023-04-07,-121.0,48.5,271.545
413,2023-04-07,-121.0,48.75,272.245
414,2023-04-07,-121.0,49.0,270.845
415,2023-04-07,-120.75,48.0,271.962
416,2023-04-07,-120.75,48.25,271.432
417,2023-04-07,-120.75,48.5,270.745
418,2023-04-07,-120.75,48.75,269.492
419,2023-04-07,-120.75,49.0,268.045
420,2023-04-07,-120.5,48.0,271.382
421,2023-04-07,-120.5,48.25,271.092
422,2023-04-07,-120.5,48.5,270.472
423,2023-04-07,-120.5,48.75,269.862
424,2023-04-07,-120.5,49.0,269.752
425,2023-04-07,-120.25,48.0,272.602
426,2023-04-07,-120.25,48.25,271.912
427,2023-04-07,-120.25,48.5,272.832
428,2023-04-07,-120.25,48.75,270.832
429,2023-04-07,-120.25,49.0,268.982
430,2023-04-07,-120.0,48.0,274.042
431,2023-04-07,-120.0,48.25,273.472
432,2023-04-07,-120.0,48.5,272.292
433,2023-04-07,-120.0,48.75,270.162
434,2023-04-07,-120.0,49.0,269.112
435,2023-04-07,-119.75,48.0,275.945
436,2023-04-07,-119.75,48.25,274.712
437,2023-04-07,-119.75,48.5,273.152
438,2023-04-07,-119.75,48.75,272.132
439,2023-04-07,-119.75,49.0,272.372
440,2023-04-07,-119.5,48.0,276.262
441,2023-04-07,-119.5,48.25,276.362
442,2023-04-07,-119.5,48.5,275.672
443,2023-04-07,-119.5,48.75,275.522
444,2023-04-07,-119.5,49.0,274.952
445,2023-04-07,-119.25,48.0,276.702
446,2023-04-07,-119.25,48.25,276.002
447,2023-04-07,-119.25,48.5,273.772
448,2023-04-07,-119.25,48.75,274.422
449,2023-04-07,-119.25,49.0,273.692
450,2023-04-07,-119.0,48.0,276.982
451,2023-04-07,-119.0,48.25,275.13
452,2023-04-07,-119.0,48.5,273.212
453,2023-04-07,-119.0,48.75,273.252
454,2023-04-07,-119.0,49.0,273.551
455,2023-04-08,-122.0,48.0,277.832
456,2023-04-08,-122.0,48.25,276.242
457,2023-04-08,-122.0,48.5,274.872
458,2023-04-08,-122.0,48.75,273.272
459,2023-04-08,-122.0,49.0,275.152
460,2023-04-08,-121.75,48.0,276.174
461,2023-04-08,-121.75,48.25,274.362
462,2023-04-08,-121.75,48.5,274.202
463,2023-04-08,-121.75,48.75,271.574
464,2023-04-08,-121.75,49.0,271.874
465,2023-04-08,-121.5,48.0,272.874
466,2023-04-08,-121.5,48.25,273.574
467,2023-04-08,-121.5,48.5,272.852
468,2023-04-08,-121.5,48.75,270.574
469,2023-04-08,-121.5,49.0,269.874
470,2023-04-08,-121.25,48.0,268.274
471,2023-04-08,-121.25,48.25,269.974
472,2023-04-08,-121.25,48.5,270.274
473,2023-04-08,-121.25,48.75,269.874
474,2023-04-08,-121.25,49.0,269.874
475,2023-04-08,-121.0,48.0,266.674
476,2023-04-08,-121.0,48.25,266.874
477,2023-04-08,-121.0,48.5,268.874
478,2023-04-08,-121.0,48.75,269.774
479,2023-04-08,-121.0,49.0,270.474
480,2023-04-08,-120.75,48.0,266.774
481,2023-04-08,-120.75,48.25,264.574
482,2023-04-08,-120.75,48.5,266.274
483,2023-04-08,-120.75,48.75,264.674
484,2023-04-08,-120.75,49.0,267.274
485,2023-04-08,-120.5,48.0,266.174
486,2023-04-08,-120.5,48.25,263.274
487,2023-04-08,-120.5,48.5,265.474
488,2023-04-08,-120.5,48.75,262.574
489,2023-04-08,-120.5,49.0,264.674
490,2023-04-08,-120.25,48.0,268.574
491,2023-04-08,-120.25,48.25,267.074
492,2023-04-08,-120.25,48.5,266.774
493,2023-04-08,-120.25,48.75,263.874
494,2023-04-08,-120.25,49.0,262.574
495,2023-04-08,-120.0,48.0,270.874
496,2023-04-08,-120.0,48.25,270.574
497,2023-04-08,-120.0,48.5,267.674
498,2023-04-08,-120.0,48.75,263.874
499,2023-04-08,-120.0,49.0,264.274
500,2023-04-08,-119.75,48.0,273.374
501,2023-04-08,-119.75,48.25,274.174
502,2023-04-08,-119.75,48.5,270.074
503,2023-04-08,-119.75,48.75,269.074
